name,latitude,longitude
Paget Island,13.4322749,92.8335218
Narcondam Island,13.4472456,94.263221
White Cliff Island,13.5879925,92.8925854
East Island,13.637627,93.0546914
Landfall Island,13.6512102,93.0047849
Sunk Rock,18.8895393,72.8325366
Middle Ground Coastal Battery,18.918718,72.8477984
Elephanta Island,18.9621558,72.9336204
Panju Island,19.3313619,72.8544469
Arnala Island,19.4633319,72.7312652
Hukitola Island,20.4058261,86.79174
Unnamed Island,21.1198286,72.6906914
Unnamed Island,21.5829065,88.1819236
Mousuni Island,21.6599636,88.2069164
Unnamed Island,21.7491012,88.5951957
Unnamed Island,21.7579446,88.607204
Unnamed Island,21.6561913,88.5784881
Unnamed Island,21.824777,88.5967514
Unnamed Island,21.9695353,88.0958327
Karumbhar Island,22.4332145,69.622597
Nora Island,22.5158197,69.3395729
Pirotan Bet,22.6001631,69.9560653
Unnamed Island,23.329217,90.4674419
Unnamed Island,23.4427742,90.3575036
Unnamed Island,23.0493511,90.5246937
Unnamed Island,23.5221244,90.131093
Unnamed Island,23.6899552,89.8461056
Unnamed Island,23.6486623,89.9529755
Unnamed Island,23.0256019,90.506765
Unnamed Island,23.0181359,90.6373572
Unnamed Island,23.6193403,90.6078408
Unnamed Island,21.9127963,95.8655875
Unnamed Island,24.1790209,96.3740136
Unnamed Island,24.1978963,96.3763102
Unnamed Island,24.3274652,96.5888142
Unnamed Island,24.3408524,96.6638899
Unnamed Island,24.2642007,96.7708665
Unnamed Island,24.2511317,96.4405202
Unnamed Island,24.2834353,96.5141992
ဇေယျာဘူမိကျွန်း,24.208504,96.8203412
Gaunggyi Kyun,15.965991,95.1119444
Unnamed Island,15.8960357,94.8371521
Unnamed Island,16.1695616,94.8687779
Unnamed Island,16.1751079,94.8761514
Byonmwe Kyun,15.9502662,95.2531975
Unnamed Island,15.9421127,95.3225461
Ku Kyun,16.3289701,95.9569314
Unnamed Island,16.3936228,95.9999567
Unnamed Island,16.5803531,95.8747559
Unnamed Island,16.0277263,94.7012579
Unnamed Island,16.38558,94.6950796
Unnamed Island,16.1240566,94.7719181
Unnamed Island,17.1177852,95.6459052
Unnamed Island,17.1123493,95.6453312
Unnamed Island,16.9882902,95.5345478
Unnamed Island,16.9806696,95.5328862
Unnamed Island,16.8419306,95.5227301
Meinmahla Kyun,15.9683806,95.2875111
Unnamed Island,16.7694235,95.3925732
Unnamed Island,16.2093934,94.9241649
Unnamed Island,16.233562,95.2762628
Unnamed Island,16.2064233,95.2794814
Unnamed Island,17.2231644,95.6105415
Unnamed Island,17.5095522,95.5635184
Unnamed Island,19.7324587,95.1481971
Unnamed Island,17.5835609,95.5751135
Unnamed Island,17.5731116,95.5308397
Unnamed Island,17.387662,95.6424089
Unnamed Island,17.8406909,95.4321751
Unnamed Island,17.8178803,95.4703344
Unnamed Island,18.4564101,95.1761336
Unnamed Island,16.2302232,95.8771876
ဟိုင်းကြီးကျွန်း,15.9987544,94.3119729
Unnamed Island,23.9407565,89.2574707
Unnamed Island,23.9055105,89.6928039
Unnamed Island,23.8141092,89.7317844
Korangotta Island,10.0244609,76.2625026
Unnamed Island,31.8335807,70.9375646
Unnamed Island,32.6930808,71.3899272
Unnamed Island,32.1582834,71.2470131
Unnamed Island,31.9681769,71.0143214
Unnamed Island,33.9427034,72.2688496
Unnamed Island,31.3318646,74.0021395
Unnamed Island,30.5941748,72.4808085
Unnamed Island,30.5688786,72.2166189
Unnamed Island,30.450375,71.5105312
Unnamed Island,30.3867351,71.4732144
Unnamed Island,30.3550774,71.4095878
Unnamed Island,30.3821721,71.4393658
Unnamed Island,29.6145561,71.0954878
Unnamed Island,28.3150245,69.6255219
Unnamed Island,28.5312993,69.8822764
Unnamed Island,28.813299,70.220704
Unnamed Island,28.8239776,70.3336385
Unnamed Island,28.9957632,70.5447779
Unnamed Island,29.0515291,70.5842426
Unnamed Island,28.9746482,70.5431619
Unnamed Island,28.9905109,70.5747449
Unnamed Island,28.9082279,70.473112
Unnamed Island,29.4127443,70.7003045
Unnamed Island,29.3610327,70.7126426
Unnamed Island,29.5803662,70.6978798
Unnamed Island,29.849995,70.8042964
Unnamed Island,29.7044418,70.7700607
Unnamed Island,30.200865,70.7832974
Unnamed Island,31.2327098,70.8120024
Unnamed Island,29.895296,70.7899895
Unnamed Island,30.7019461,70.8191961
Unnamed Island,30.7442221,70.8137995
Unnamed Island,29.7895801,70.773797
Unnamed Island,29.510686,70.6994435
Unnamed Island,29.8704369,70.8046056
Unnamed Island,29.5215178,70.6761351
Unnamed Island,29.8377047,70.7773215
Unnamed Island,29.5071001,70.6868827
Unnamed Island,31.1321961,70.8101276
Unnamed Island,31.2754768,70.790349
Unnamed Island,31.2791543,70.7719168
Unnamed Island,31.0359706,70.7737032
Unnamed Island,31.0539523,70.7924009
Unnamed Island,29.5715272,70.7339769
Unnamed Island,30.0005541,70.8061029
Unnamed Island,30.5631749,70.8410333
Unnamed Island,30.190737,70.7752133
Unnamed Island,31.3214779,70.7730186
Unnamed Island,31.3396508,70.7816787
Unnamed Island,31.4148918,70.7778505
Unnamed Island,31.6168785,70.8647467
Unnamed Island,30.8017525,71.9068735
Unnamed Island,30.942713,72.0506573
Unnamed Island,30.8824781,71.9729429
Unnamed Island,30.9754611,72.0678104
Unnamed Island,31.3412352,72.0962834
Unnamed Island,31.6871832,72.1614379
Unnamed Island,31.7605165,72.1993549
Unnamed Island,31.4384068,72.1152851
Unnamed Island,31.2147073,72.1101352
Unnamed Island,31.6720924,72.1575258
Unnamed Island,31.6676829,72.167045
Unnamed Island,32.3597504,72.4777776
Unnamed Island,32.3812996,72.5435051
Unnamed Island,32.4431446,72.7676103
Unnamed Island,32.9626094,73.7678892
Unnamed Island,32.9889705,73.7823464
Unnamed Island,32.3252183,73.7028242
Kothad Island,10.053157,76.2728495
Small Lake Island,22.5688632,88.399731
Main Lake Island,22.5687415,88.4021798
South Brother Island,10.9329706,92.6133018
North Brother Island,10.9874407,92.6642979
Miroe Island,7.5179658,93.5448645
Pulomilo Island,7.4032654,93.6891109
Barren Island,12.2803618,93.8618191
Little Coco Island,13.9940489,93.2253188
Table Island,14.1859573,93.3661899
Analativu,9.6690653,79.7752747
Puliyanthivu,9.6479317,79.7743218
Palativu,9.4755282,80.0109882
Kakkativu,9.3169958,80.0818717
Kachchatheevu,9.3886443,79.5261871
Baththalangunduwa,8.4942179,79.7919364
Unnamed Island,12.5194193,80.0371497
